X: 343.000000, Y: 356.000000
X: 354.500000, Y: 303.500000
X: 342.000000, Y: 305.000000
X: 325.000000, Y: 310.000000
X: 319.500000, Y: 345.500000
X: 316.500000, Y: 366.500000
X: 317.500000, Y: 363.500000
X: 319.500000, Y: 359.500000
X: 319.500000, Y: 363.500000
X: 273.000000, Y: 373.000000
X: 462.000000, Y: 361.000000
X: 277.000000, Y: 376.000000
X: 293.000000, Y: 362.000000
X: 313.000000, Y: 358.000000
X: 321.500000, Y: 356.500000
X: 330.000000, Y: 352.000000
X: 335.500000, Y: 350.500000
X: 336.500000, Y: 351.500000
X: 530.000000, Y: 332.000000
X: 334.000000, Y: 355.000000
X: 334.500000, Y: 358.500000
X: 559.500000, Y: 335.500000
X: 335.500000, Y: 358.500000
X: 332.500000, Y: 362.500000
X: 330.000000, Y: 385.000000
X: 595.000000, Y: 401.000000
X: 333.500000, Y: 384.500000
X: 335.000000, Y: 384.000000
X: 335.500000, Y: 382.500000
X: 348.000000, Y: 352.000000
X: 348.000000, Y: 345.000000
X: 339.500000, Y: 336.500000
X: 336.000000, Y: 325.000000
X: 325.500000, Y: 310.500000
X: 329.500000, Y: 295.500000
X: 318.500000, Y: 293.500000
X: 301.000000, Y: 319.000000
X: 309.000000, Y: 321.000000
X: 336.500000, Y: 285.500000
X: 351.000000, Y: 276.000000
X: 350.000000, Y: 286.000000
X: 372.500000, Y: 302.500000
X: 372.000000, Y: 318.000000
X: 375.000000, Y: 321.000000
X: 367.000000, Y: 323.000000
X: 387.000000, Y: 389.000000
X: 407.000000, Y: 378.000000
X: 465.500000, Y: 397.500000
X: 412.000000, Y: 366.000000
X: 463.000000, Y: 384.000000
X: 399.500000, Y: 353.500000
X: 451.500000, Y: 368.500000
X: 395.000000, Y: 349.000000
X: 448.500000, Y: 362.500000
X: 399.500000, Y: 335.500000
X: 449.500000, Y: 350.500000
X: 415.500000, Y: 305.500000
X: 466.500000, Y: 320.500000
X: 438.500000, Y: 277.500000
X: 492.000000, Y: 290.000000
X: 448.000000, Y: 257.000000
X: 451.500000, Y: 244.500000
X: 460.000000, Y: 231.000000
X: 391.500000, Y: 302.500000
X: 462.000000, Y: 220.000000
X: 458.500000, Y: 224.500000
X: 445.000000, Y: 247.000000
X: 426.000000, Y: 309.000000
X: 354.500000, Y: 398.500000
X: 388.500000, Y: 382.500000
X: 390.500000, Y: 389.500000
X: 411.000000, Y: 313.000000
X: 413.000000, Y: 211.000000
X: 413.500000, Y: 228.500000
X: 401.000000, Y: 247.000000
X: 399.500000, Y: 261.500000
X: 392.000000, Y: 315.000000
X: 347.500000, Y: 295.500000
X: 336.000000, Y: 315.000000
X: 360.500000, Y: 330.500000
X: 335.500000, Y: 320.500000
X: 332.500000, Y: 319.500000
X: 334.000000, Y: 319.000000
X: 332.000000, Y: 320.000000
X: 333.000000, Y: 320.000000
X: 330.500000, Y: 322.500000
X: 331.500000, Y: 322.500000
X: 330.500000, Y: 321.500000
X: 331.500000, Y: 321.500000
X: 332.500000, Y: 319.500000
X: 332.500000, Y: 297.500000
X: 333.000000, Y: 283.000000
X: 326.500000, Y: 289.500000
X: 327.000000, Y: 287.000000
X: 328.000000, Y: 286.000000
X: 316.500000, Y: 307.500000
X: 308.500000, Y: 326.500000
X: 308.500000, Y: 329.500000
X: 308.000000, Y: 330.000000
X: 308.000000, Y: 330.000000
X: 308.000000, Y: 332.000000
X: 307.000000, Y: 333.000000
X: 298.500000, Y: 349.500000
X: 519.000000, Y: 441.000000
X: 379.000000, Y: 334.000000
X: 323.000000, Y: 351.000000
X: 438.000000, Y: 349.000000
X: 518.500000, Y: 435.500000
X: 421.000000, Y: 337.000000
X: 378.500000, Y: 355.500000
X: 300.000000, Y: 331.000000
X: 320.000000, Y: 312.000000
X: 315.500000, Y: 313.500000
X: 309.000000, Y: 324.000000
X: 298.500000, Y: 323.500000
